rank,texture_tag_hex,face_count,model_count,dominant_model_family,family_model_hits,bsi_family_count,bsi_family_examples,sample_models
1,0000000000ff,261,38,7,2,0,,7PYLON1.3D | 7PYLON2.3D | A06.3D | BSP_LVA0.3D | BSP_WAL8.3D | CUIRASS.3D | EDAGGER.3D | ELOSWRD.3D
2,000000000001,217,42,7,8,0,,7BRID1.3D | 7BRID2.3D | 7BRID3.3D | 7BRID4.3D | 7BRID5.3D | 7FORM1.3D | 7MECH.3D | 7PYLON1.3D
3,00ffffff0000,108,29,bsp,3,0,,A06.3D | BSP_CAT2.3D | BSP_CL16.3D | BSP_WAL8.3D | CUIRASS.3D | ELOSWRD.3D | EMACE.3D | ESPEAR.3D
4,000100000000,102,33,a,1,0,,A06.3D | BSP_LVA0.3D | CUIRASS.3D | EDAGGER.3D | ELOSWRD.3D | EMACE.3D | ESPEAR.3D | ESTAFF.3D
5,070000000800,97,95,7,8,0,,7BIS1.3D | 7BIS2.3D | 7BIS3.3D | 7BOLT.3D | 7BOULDR.3D | 7BROCKO.3D | 7CLIFF.3D | 7FORM2.3D
6,0d0000000e00,93,91,7,8,0,,7BIS1.3D | 7BIS2.3D | 7BIS3.3D | 7BOLT.3D | 7BOULDR.3D | 7BROCKO.3D | 7CLIFF.3D | 7FORM2.3D
7,130000001400,84,82,7,8,0,,7BIS1.3D | 7BIS2.3D | 7BIS3.3D | 7BOLT.3D | 7BOULDR.3D | 7BROCKO.3D | 7CLIFF.3D | 7FORM2.3D
8,0000803f0000,79,45,7,5,0,,7BAKUP.3D | 7DAGTOP2.3D | 7LAVA14.3D | 7LAVA17.3D | 7LAVA5.3D | BSP_BTN1.3D | BSP_CL06.3D | BSP_CL11.3D
9,190000001a00,78,76,7,8,0,,7BIS1.3D | 7BIS2.3D | 7BIS3.3D | 7BOLT.3D | 7BROCKO.3D | 7CLIFF.3D | 7FORM2.3D | 7FORM3.3D
10,000000800000,74,48,bsp,7,0,,7BAKUP.3D | BSP_BTN1.3D | BSP_CL09.3D | BSP_CL15.3D | BSP_DNG1.3D | BSP_DOR2.3D | BSP_DOR4.3D | BSP_LVA4.3D
11,1f0000002000,69,67,7,8,0,,7BIS2.3D | 7BIS3.3D | 7BOLT.3D | 7CLIFF.3D | 7FORM2.3D | 7FORM3.3D | 7SEDHI.3D | 7SIL1.3D
12,250000002600,59,57,7,6,0,,7BOLT.3D | 7CLIFF.3D | 7FORM2.3D | 7FORM3.3D | 7SEDHI.3D | 7TREE.3D | BSP_GTHS.3D | BSP_TWR1.3D
13,0000e0ab0100,58,10,7,8,0,,7ATDOWN.3D | 7ATUP.3D | 7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D
14,008005000000,54,5,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,L442.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
15,010000000000,53,33,bsp,3,0,,BSP_CL19.3D | BSP_DOR4.3D | BSP_WAL2.3D | DM2.3D | DNG08.3D | L422.3D | L44.3D | L4BALCUP.3D
16,3c00ee040000,46,46,bsp,6,0,,1CORR13.3D | BFLAG.3D | BSP_BRG1.3D | BSP_CL01.3D | BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
17,010000000100,42,19,l,5,7,l2sky | l5sky | l6bgdr1 | l6mir | l6sky | l6win | l8sky,BSP_CL19.3D | BSP_GRN8.3D | BSP_LFT2.3D | L4FLOAT1.3D | L4FLOAT2.3D | L4FLOAT3.3D | L4FLOAT4.3D | L4FLOAT5.3D
18,3c00ee040200,40,40,bsp,5,0,,BSPCAT.3D | BSP_CAT1.3D | BSP_DNG4.3D | BSP_WAL3.3D | BSP_WAL5.3D | BSP_WAL8.3D | EARROW.3D | EMACE.3D
