texture_tag_hex,face_count,model_count,sample_models
340040030000,16,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
0400a8010000,16,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
540050040000,16,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
1c0052020000,16,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
2000ec010000,16,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
ac003c070000,16,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
9c00b4060000,16,8,7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
00e003000000,16,4,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
00e0faff0000,16,4,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
0400feffffff,16,10,L410.3D | L43.3D | L443.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D
feffffff0000,15,8,7BASE.3D | 7BOLT.3D | 7TREE.3D | L47.3D | L48.3D | L4PILL1.3D | L4SEDISL.3D | T5PIL4.3D
000000000300,15,10,7BASE.3D | 7BOLT.3D | 7STOCK.3D | 7TREE.3D | L433.3D | L443.3D | L47.3D | L48.3D
000000006901,15,15,7SKULL.3D | BSPCAT.3D | GAT03.3D | GAT04.3D | KCAT4.3D | L4ARCHWY.3D | L4PL01.3D | L4PL02.3D
3c0000000000,15,14,7TREE.3D | EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D | GAUNTS.3D | L4HPL01.3D
b50000000000,15,2,ELOSWRD.3D | ESPEAR.3D
0080fbff0000,15,5,L442.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
980092060000,14,10,7ATDOWN.3D | 7ATUP.3D | 7BIS2.3D | 7BIS3.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D
4c000c040000,14,8,7ATDOWN.3D | 7ATUP.3D | 7SIL1.3D | 7SIL2.3D | 7SIL3.3D | 7SIL4.3D | 7SIL5.3D | 7SIL6.3D
000000005400,14,14,7BASE.3D | BSP_GTHS.3D | DOR08.3D | L443.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
4f0000005000,14,14,7CLIFF.3D | BSP_GTHS.3D | BSP_TWR1.3D | L2PIL12.3D | L2PIL14.3D | L2PIL19.3D | L2PIL4.3D | L2PIL7.3D
550000005600,14,14,7CLIFF.3D | BSP_GTHS.3D | BSP_TWR1.3D | L2PIL12.3D | L2PIL14.3D | L2PIL19.3D | L2PIL4.3D | L2PIL7.3D
08002a010000,14,11,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D | L4CONVEN.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D
7dc500000000,14,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
3c00e2040200,13,13,7BIS1.3D | 7BIS2.3D | 7BIS3.3D | 7BOULDR.3D | 7IN.3D | 7ROCK.3D | 7SIL2.3D | 7SIL4.3D
