texture_tag_hex,face_count,model_count,sample_models
000100000800,8,8,7LAVA10.3D | 7LAVA11.3D | 7LAVA13.3D | 7LAVA15.3D | 7LAVA16.3D | 7LAVA18.3D | 7LAVA21.3D | 7LAVA8.3D
0000020000c0,8,3,7SWIVEL.3D | SC09.3D | SC16.3D
0c0054010000,8,5,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D | L4CONVEN.3D | L4WALK2.3D
00e004000000,8,4,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
002005000000,8,4,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D
000090000000,8,8,BSP_GTHS.3D | EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D | GAUNTS.3D | L4PILL1.3D
3c00e4040000,8,2,BSP_WAL4.3D | BSP_WAL5.3D
008000000000,8,5,BSP_WAL6.3D | KEEP01.3D | L426.3D | L437.3D | WAL09.3D
0000ffff0080,8,5,BSP_WAL6.3D | L436.3D | ZBUZZ.3D | ZCULT.3D | ZTURN.3D
0060ffff00a0,8,2,DNG05.3D | DNG06.3D
00a000000080,8,2,DNG05.3D | DNG06.3D
6c0000000000,8,8,L410.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D | L6Q01.3D
0000b7610100,8,2,L424.3D | L438.3D
0080faff0000,8,5,L442.3D | L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
3c00ac030000,8,4,L4CAVE1.3D | L4CAVE2.3D | NNSLABS3.3D | NNSLABS4.3D
00808ac30000,8,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
0000e4000000,7,7,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D | 7TREE.3D | L4PILL1.3D | L4STAIR.3D
000000001800,7,6,7BOLT.3D | BSP_GTHS.3D | GAUNTS.3D | L431.3D | L443.3D | L6Q01.3D
000000000600,7,7,7DAGTOP4.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00000000a800,7,7,7TREE.3D | L410.3D | L43.3D | L4PASS4.3D | L6Q01.3D | L6Q03.3D | TOWER1.3D
000000010000,7,7,7TREE.3D | L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
140048010000,7,2,BSP_CAT2.3D | BSP_TRP2.3D
3c00ee042c00,7,7,BSP_CL04.3D | BSP_CL07.3D | BSP_CL14.3D | BSP_CL17.3D | BSP_KEEP.3D | GAT03.3D | GAT04.3D
924166beb371,7,1,BSP_CL09.3D
e20700000000,7,6,BSP_CL11.3D | BSP_CL16.3D | BSP_LVA2.3D | BSP_LVA7.3D | GTHS01.3D | SC10.3D
040601f2e207,7,2,BSP_GTHS.3D | BSP_WAL8.3D
0080ffff0000,7,5,BSP_WAL6.3D | KEEP01.3D | L426.3D | L437.3D | WAL09.3D
b5000000b500,7,2,EMACE.3D | ESTAFF.3D
4bffffffb500,7,2,EMACE.3D | ESTAFF.3D
8effffff0000,7,1,ESPEAR.3D
0080fdff0000,7,2,KEEP01.3D | WAL09.3D
00c0000000a0,7,3,KEEP01.3D | WAL09.3D | ZPLAT.3D
00c000000000,7,4,KEEP01.3D | WAL09.3D | WAL12.3D | WAL13.3D
ffffe1930000,7,1,L414.3D
000000000080,7,7,L414.3D | L435.3D | L436.3D | L4BLOK1.3D | L4BLOK2.3D | L4BLOK3.3D | L4BLOK4.3D
0000fdff0000,7,1,L434.3D
a45bee040200,7,7,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D | L4PASS6.3D
200036020000,7,7,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D | QCOVE.3D
0080ffff00e0,7,2,WAL14.3D | WAL16.3D
004000000080,7,3,ZBUZZ.3D | ZCULT.3D | ZTURN.3D
f009e204a01a,6,6,7ARCH.3D | 7BSTAL.3D | 7PYLON1.3D | 7PYLON2.3D | 7STAL.3D | 7SWIVEL.3D
00003c000000,6,6,7BASE.3D | EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | L443.3D
000000003000,6,5,7BASE.3D | 7VOLC2.3D | BSP_GTHS.3D | L4R.3D | T5LEVBX.3D
f6060000a400,6,2,7BIS1.3D | 7INBACK.3D
0c0000000000,6,6,7BOLT.3D | BSP_LVA8.3D | BSP_WAL2.3D | L47.3D | L48.3D | L4SEDISL.3D
800096050000,6,2,7BROCKO.3D | 7MECHLEV.3D
0000dc4b0100,6,2,7FORM2.3D | 7FORM3.3D
2a0100000c00,6,4,7LAVA11.3D | 7LAVA24.3D | 7LAVA6.3D | 7LAVA8.3D
1c0044020000,6,3,7TREE.3D | NNSLABS3.3D | NNSLABS4.3D
000000004800,6,6,7TREE.3D | BSP_GTHS.3D | L433.3D | L47.3D | L48.3D | L4SEDISL.3D
000000c10000,6,5,BBASE.3D | L4B.3D | L4K.3D | SC01.3D | SC03.3D
00003f820000,6,3,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D
1000ca000000,6,3,BSP_CAT2.3D | BSP_TRP2.3D | L4WALK.3D
0000000072ff,6,3,BSP_CAT2.3D | CUIRASS.3D | L410.3D
2ef9e4be2ef9,6,1,BSP_CL10.3D
000040430000,6,3,BSP_DNG2.3D | BSP_WAL2.3D | L414.3D
feff434d0100,6,3,BSP_DNG4.3D | BSP_WAL4.3D | BSP_WAL5.3D
00c0ffff0080,6,3,BSP_WAL6.3D | L4ROPE1.3D | ZBUZZ.3D
4bffffff0000,6,2,CUIRASS.3D | ELOSWRD.3D
00e000000060,6,2,DNG05.3D | DNG06.3D
002000000060,6,3,DNG05.3D | DNG06.3D | L4V.3D
002000000020,6,2,DNG05.3D | DNG06.3D
0020000000a0,6,2,DNG05.3D | DNG06.3D
b50000004bff,6,2,EMACE.3D | ESTAFF.3D
3c0071030000,6,6,GREAVES.3D | POULDS.3D | SIGILE.3D | SIGILH.3D | SIGILM.3D | SIGILP.3D
07003e020000,6,3,KCAT3.3D | WAL12.3D | WAL13.3D
08003e020000,6,3,KCAT3.3D | WAL12.3D | WAL13.3D
1c0014020000,6,4,KCAT3.3D | QCOVE.3D | WAL12.3D | WAL13.3D
00c0010000a0,6,4,KEEP01.3D | WAL09.3D | WAL14.3D | WAL16.3D
00c001000000,6,2,KEEP01.3D | WAL09.3D
6c0118140000,6,3,L2PIL4.3D | L2RP2.3D | L2RP3.3D
ee4757bd6aa5,6,1,L411.3D
4c0074050000,6,3,L413.3D | L4HOP1.3D | L4HOP2.3D
0100b4080000,6,3,L413.3D | L4HOP1.3D | L4HOP2.3D
0adf00008083,6,3,L413.3D | L4HOP1.3D | L4HOP2.3D
440058030000,6,2,L4CAVE1.3D | L4CAVE2.3D
0600feffffff,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
000000ffffff,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00c304000000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
c043000000c4,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
0005a0ba0005,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00c307000000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
3044000000c3,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00800000803f,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00430a000000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
30c400000044,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
00008a3c0100,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
030060020000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
0900c4020000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
030036020000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
50f5ffff0000,6,6,L4HPL01.3D | L4HPL02.3D | L4HPL03.3D | L4HPL04.3D | L4HPL05.3D | L4HPL06.3D
000000410000,6,4,L4Z.3D | SC01.3D | SC03.3D | SIGILU.3D
00000a740000,6,2,NNSLABS3.3D | NNSLABS4.3D
9be8a13ee8dc,6,1,QTOP.3D
0000feff00c0,6,2,SC09.3D | SC16.3D
0000feff0080,6,2,SC09.3D | SC16.3D
00c0ffff00e0,6,4,WAL14.3D | WAL16.3D | ZBUZZ.3D | ZPLAT.3D
0000ffff00a0,6,3,WAL14.3D | WAL16.3D | ZPLAT.3D
0080ffff00a0,6,2,WAL14.3D | WAL16.3D
008001000080,6,3,ZBUZZ.3D | ZCULT.3D | ZTURN.3D
00c0feff0080,6,3,ZBUZZ.3D | ZCULT.3D | ZTURN.3D
00d8ffff0020,5,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
3c00e2040000,5,5,7ATDOWN.3D | 7ATUP.3D | 7DAGISL.3D | 7PILLAR.3D | 7TORCH.3D
000018000000,5,5,7BOLT.3D | GAUNTS.3D | L410.3D | L4STAIR.3D | L6Q01.3D
540020040000,5,3,7BROCKO.3D | 7MECHLEV.3D | 7TREE.3D
4c00dc030000,5,2,7BROCKO.3D | 7MECHLEV.3D
6d0000006e00,5,5,7CLIFF.3D | BSP_GTHS.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
730000007400,5,5,7CLIFF.3D | BSP_GTHS.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
00000000fc00,5,4,7FORM1.3D | CUIRASS.3D | EMACE.3D | L47.3D
000000000800,5,5,7LAVA14.3D | 7LAVA17.3D | BSP_LVA4.3D | QTRI.3D | SIGILI.3D
000000007200,5,3,7MECH.3D | CUIRASS.3D | L410.3D
00000000b400,5,5,7TREE.3D | GAUNTS.3D | L410.3D | L43.3D | L4STAIR.3D
000000009000,5,5,7TREE.3D | L47.3D | L48.3D | L4SEDISL.3D | QBALC2.3D
9c0000000000,5,5,7TREE.3D | L47.3D | L48.3D | L4SEDISL.3D | QBALC2.3D
00009c000000,5,5,7TREE.3D | GAUNTS.3D | L47.3D | L48.3D | L4SEDISL.3D
04005603feff,5,1,A27.3D
10007e010000,5,5,BRG02.3D | BSP_CAT1.3D | BSP_WAL3.3D | L4CONVEN.3D | L4WALK2.3D
1400a8010000,5,3,BRG02.3D | L4CONVEN.3D | L4WALK2.3D
a01dee040000,5,5,BSP_CAT2.3D | DNG05.3D | KEEP01.3D | TWR02.3D | WAL10.3D
030072010000,5,3,BSP_CAT2.3D | BSP_TRP2.3D | L4WALK.3D
000080420000,5,4,BSP_CL05.3D | L4BACK.3D | L4SLOPE.3D | RMP06.3D
120000000000,5,5,BSP_CL05.3D | L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
000000002ef9,5,4,BSP_CL10.3D | L425.3D | SC12.3D | ZTRI.3D
431f933e1a34,5,1,BSP_CL15.3D
ffff89fd0000,5,2,BSP_DNG2.3D | TWR02.3D
02cb000002bb,5,2,BSP_DNG2.3D | TWR02.3D
000080430000,5,4,BSP_DRWB.3D | L414.3D | L4SLOPE.3D | ZBLOCK.3D
0080fcff0000,5,1,BSP_LVA1.3D
000003000000,5,2,BSP_LVA1.3D | L434.3D
006001000000,5,2,DNG05.3D | DNG06.3D
0060010000e0,5,3,DNG05.3D | DNG06.3D | L43.3D
0060ffff00e0,5,2,DNG05.3D | DNG06.3D
900cfe040000,5,5,DNG06.3D | L46.3D | L4CONN02.3D | L4CONN4.3D | L6Q02.3D
0000e0fe1800,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
00008503db01,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
4afe03069940,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
0000db004800,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
99407dc50000,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
00000c000000,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | L443.3D
840000008503,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
0000850325fd,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
98407dc50000,5,5,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D | EXBOW.3D
0000000067ff,5,2,EPUNCH.3D | L410.3D
900cc5010000,5,5,HOUSE4.3D | HOUSE5.3D | HOUSE7.3D | PLANE01.3D | SPIRE.3D
48004a050000,5,3,L413.3D | L4HOP1.3D | L4HOP2.3D
00000000ffff,5,4,L414.3D | L424.3D | L438.3D | L4SEWER.3D
900cfe040200,5,5,L415.3D | L416.3D | L48.3D | L4CORD.3D | SC08.3D
4000d6030000,5,5,L420.3D | L4CAVE1.3D | L4CAVE2.3D | NNSLABS3.3D | NNSLABS4.3D
1400f0010000,5,3,L424.3D | L438.3D | ZBAND.3D
18001a020000,5,5,L424.3D | L438.3D | NNSLABS3.3D | NNSLABS4.3D | ZBAND.3D
006900000000,5,3,L437.3D | L4BOXLEV.3D | L4PILL2.3D
00000000c000,5,5,L47.3D | L4STAIR.3D | SIGILQ.3D | SIGILS.3D | TOWER1.3D
00008eb80000,5,3,L4CAVE1.3D | L4CAVE2.3D | L4PILL3.3D
00004d910300,5,2,L4CONN2.3D | L4CONN3.3D
1c00e0020000,5,1,L4HALO.3D
00001ca50100,5,1,SC04.3D
30009e030000,5,1,TWR02.3D
008002000000,5,4,WAL09.3D | WAL10.3D | WAL12.3D | WAL13.3D
00c0ffff00a0,5,4,WAL14.3D | WAL16.3D | ZBUZZ.3D | ZPLAT.3D
00d0ffff0020,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
002800005d01,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
003000000030,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
00f8ffff0020,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
180006010000,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
0000ffffcd00,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
a01ae2042c00,4,4,7ARCH.3D | 7BSTAL.3D | 7STAL.3D | 7SWIVEL.3D
5400d8030000,4,2,7ATDOWN.3D | 7ATUP.3D
3000a6020000,4,2,7ATDOWN.3D | 7ATUP.3D
240040020000,4,2,7ATDOWN.3D | 7ATUP.3D
1c0300003000,4,2,7BIS1.3D | 7INBACK.3D
c80100000800,4,2,7BIS1.3D | 7INBACK.3D
f08900000900,4,2,7BIS1.3D | 7INBACK.3D
ea0100000c00,4,2,7BIS1.3D | 7INBACK.3D
0000ad620000,4,2,7BIS1.3D | 7INBACK.3D
c60300004400,4,2,7BIS1.3D | 7INBACK.3D
000030000000,4,4,7BOLT.3D | 7TREE.3D | GAUNTS.3D | L43.3D
00d0ffff00fa,4,2,7BOULDR.3D | 7ROCK.3D
00b0ffff00f7,4,2,7BOULDR.3D | 7ROCK.3D
00a0ffff00f4,4,2,7BOULDR.3D | 7ROCK.3D
00d0ffff00f5,4,2,7BOULDR.3D | 7ROCK.3D
00b0ffff00ef,4,2,7BOULDR.3D | 7ROCK.3D
00a0ffff00e9,4,2,7BOULDR.3D | 7ROCK.3D
00d0ffff00f1,4,2,7BOULDR.3D | 7ROCK.3D
00b0ffff00ea,4,2,7BOULDR.3D | 7ROCK.3D
00a0ffff00e2,4,2,7BOULDR.3D | 7ROCK.3D
90001e060000,4,2,7BROCKO.3D | 7MECHLEV.3D
70000e050000,4,2,7BROCKO.3D | 7MECHLEV.3D
600086040000,4,2,7BROCKO.3D | 7MECHLEV.3D
3c0089660100,4,2,7BROCKO.3D | 7MECHLEV.3D
b0002e070000,4,2,7BROCKO.3D | 7MECHLEV.3D
a400c8060000,4,2,7BROCKO.3D | 7MECHLEV.3D
440098030000,4,2,7BROCKO.3D | 7MECHLEV.3D
d800ca080000,4,2,7FORM2.3D | 7FORM3.3D
c80042080000,4,2,7FORM2.3D | 7FORM3.3D
b800ba070000,4,2,7FORM2.3D | 7FORM3.3D
940088060000,4,2,7FORM2.3D | 7FORM3.3D
4400e0030000,4,2,7FORM2.3D | 7FORM3.3D
7c00bc050000,4,3,7FORM2.3D | 7FORM3.3D | QCOVE.3D
2000ae020000,4,2,7FORM2.3D | 7FORM3.3D
41ffffff0000,4,4,7MECH.3D | 7STAL.3D | TOWER1.3D | TOWER2.3D
1dffffff94ff,4,4,7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D | 7ROPE4.3D
84ffffff47ff,4,4,7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D | 7ROPE4.3D
000000001900,4,4,7ROPE1.3D | 7ROPE2.3D | 7ROPE3.3D | 7ROPE4.3D
4f0000000000,4,4,7SEDHI.3D | EARROW.3D | EWARAXE.3D | EXBOW.3D
c00000000000,4,3,7STOCK.3D | 7TREE.3D | TOWER2.3D
cc0000000000,4,4,7TREE.3D | BSP_GTHS.3D | L4STAIR.3D | T5PIL4.3D
e40000000000,4,4,7TREE.3D | GREAVES.3D | L47.3D | T5PIL4.3D
840000000000,4,4,7TREE.3D | L4STAIR.3D | L6Q01.3D | L6Q03.3D
0000c0000000,4,4,7TREE.3D | BSP_WAL8.3D | GAUNTS.3D | QBALC2.3D
01ffffff0000,4,3,A06.3D | BSP_CL16.3D | L4LAND.3D
005c000000ed,4,1,BASKET1.3D
000020c30000,4,2,BSP_CL02.3D | BSP_CL19.3D
8a0100000400,4,1,BSP_CL06.3D
000000002001,4,4,BSP_CL11.3D | GTHS01.3D | L410.3D | L4STAIR.3D
000000430000,4,2,BSP_CL12.3D | BSP_DNG2.3D
000060440000,4,2,BSP_CL18.3D | BSP_LVA2.3D
000000c20000,4,4,BSP_CL19.3D | L4BACK.3D | L4SUPRT.3D | ZSLOPE.3D
5c006c050000,4,2,BSP_DNG2.3D | TWR02.3D
2c0028030000,4,1,BSP_DNG2.3D
0400ad15ffff,4,2,BSP_DNG2.3D | TWR02.3D
4c00d4050000,4,1,BSP_DNG4.3D
0000803ffeff,4,3,BSP_DOR1.3D | L4FLOT10.3D | SC07.3D
000000003c00,4,3,BSP_DOR3.3D | GAUNTS.3D | L4PASS4.3D
7400ee040200,4,4,BSP_GTHS.3D | L413.3D | L4HOP2.3D | L4PILL3.3D
e40000008eff,4,4,BSP_LVA0.3D | CUIRASS.3D | EMACE.3D | ESTAFF.3D
00000000f000,4,4,BSP_LVA2.3D | GAUNTS.3D | L410.3D | L4STAIR.3D
00000000bc00,4,1,BSP_LVA9.3D
00000000fcff,4,4,BSP_LVRB.3D | CUIRASS.3D | ISLE1.3D | ZBANDP.3D
d400b40e0000,4,2,BSP_TWR1.3D | TWR02.3D
fdff434d0100,4,2,BSP_WAL4.3D | BSP_WAL5.3D
40000e050000,4,2,BSP_WAL4.3D | BSP_WAL5.3D
6c00a8060000,4,2,BSP_WAL4.3D | BSP_WAL5.3D
5000d6050000,4,2,BSP_WAL4.3D | BSP_WAL5.3D
140040030000,4,2,BSP_WAL4.3D | BSP_WAL5.3D
000000001cff,4,1,CUIRASS.3D
0000cc420000,4,2,DNG05.3D | DNG06.3D
0060ffff0060,4,2,DNG05.3D | DNG06.3D
006001000020,4,2,DNG05.3D | DNG06.3D
00e0000000a0,4,2,DNG05.3D | DNG06.3D
0020000000e0,4,2,DNG05.3D | DNG06.3D
00e0000000e0,4,2,DNG05.3D | DNG06.3D
0020feff0060,4,2,DNG05.3D | DNG06.3D
00a002000048,4,2,DNG05.3D | DNG06.3D
0001000000ff,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
000100000001,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
0001000000fe,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
1f00cc000000,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
c000000001d8,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
7bfcdcfe0306,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
00000000db00,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
df0178000000,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
000001fd6c00,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
000000000002,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
54000000ff27,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
000103069840,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
01d81f003000,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
0000c0010306,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
000085032401,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
0c0000008503,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
030699407dc5,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
4afe90000000,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
000800feb400,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
00000000b601,4,4,EARROW.3D | EMACE.3D | ESTAFF.3D | EWARAXE.3D
1cffffff7200,4,2,EMACE.3D | ESTAFF.3D
ff0000000f00,4,4,ESPEAR.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
0c006c010000,4,4,KCAT3.3D | WAL12.3D | WAL13.3D | ZWIDE.3D
000002000040,4,4,KEEP01.3D | SC09.3D | SC16.3D | WAL09.3D
900c81030000,4,4,L2PIL11.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
86000000da00,4,4,L2PIL11.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
7affffffda00,4,4,L2PIL11.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
7affffff26ff,4,4,L2PIL11.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
8600000026ff,4,4,L2PIL11.3D | L2PIL14.3D | L2PIL7.3D | L2RP1.3D
380026030000,4,2,L424.3D | L438.3D
1800c6010000,4,2,L424.3D | L438.3D
000001050000,4,2,L427.3D | L4W.3D
0000bfdd0000,4,1,L43.3D
140008020000,4,3,L43.3D | L4CAVE1.3D | L4CAVE2.3D
000001000000,4,1,L434.3D
c80400005000,4,1,L443.3D
500200001000,4,1,L443.3D
00b100000000,4,2,L4BOXLEV.3D | L4PILL2.3D
005900000000,4,2,L4BOXLEV.3D | L4PILL2.3D
00a9ffff0000,4,2,L4BOXLEV.3D | L4PILL2.3D
0099ffff0000,4,2,L4BOXLEV.3D | L4PILL2.3D
0049ffff0000,4,2,L4BOXLEV.3D | L4PILL2.3D
30002e030000,4,2,L4CAVE1.3D | L4CAVE2.3D
0000f8bb0100,4,2,L4CAVE1.3D | L4CAVE2.3D
932a01000000,4,2,L4CAVE1.3D | L4CAVE2.3D
fbff4d910300,4,2,L4CONN2.3D | L4CONN3.3D
00000000800c,4,4,L4DECK1.3D | L4DECK2.3D | L4DECK3.3D | L4DECK4.3D
00000000b00c,4,4,L4DECK1.3D | L4DECK2.3D | L4DECK3.3D | L4DECK4.3D
00000000e00c,4,4,L4DECK1.3D | L4DECK2.3D | L4DECK3.3D | L4DECK4.3D
dfae00000000,4,1,L4HALL.3D
780300002800,4,4,L4MANA1.3D | L4MANA2.3D | L4MANA3.3D | L4MANA4.3D
000000806f31,4,4,L4MANA1.3D | L4MANA2.3D | L4MANA3.3D | L4MANA4.3D
aa0300002c00,4,4,L4MANA1.3D | L4MANA2.3D | L4MANA3.3D | L4MANA4.3D
f60300003400,4,4,L4MANA1.3D | L4MANA2.3D | L4MANA3.3D | L4MANA4.3D
33063f132e69,4,4,L4MANA1.3D | L4MANA2.3D | L4MANA3.3D | L4MANA4.3D
000000000400,4,3,L4PASS4.3D | L4PILL1.3D | T5PIL4.3D
f304353ff304,4,2,L4SLAB.3D | ZTRI.3D
0080faffd100,4,4,L4SLAB1.3D | L4SLAB2.3D | L4SLAB3.3D | L4SLAB4.3D
00008f040100,4,1,L4WALK.3D
0400a0000000,4,1,L4WALK.3D
c09401050000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
090000008094,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
409501050000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
0c000000e094,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
709601050000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
209501050000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
0f0000000000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
0080dd430000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
00808a430000,4,4,L4WELL1.3D | L4WELL2.3D | L4WELL3.3D | L4WELL4.3D
3c00b5010000,4,4,L5WATER1.3D | L5WATER2.3D | L5WATER3.3D | T5PIL4.3D
00000400feff,4,1,L6Q01.3D
0f000000ff00,4,2,L6Q03.3D | L6Q04.3D
380040030000,4,2,NNSLABS3.3D | NNSLABS4.3D
1000ae010000,4,1,QCOVE.3D
9000ee050000,4,1,QCOVE.3D
b20c02000000,4,1,QCOVE.3D
000010c80000,4,1,SC08.3D
000002000080,4,2,SC09.3D | SC16.3D
fcff7fbffd6f,4,1,SC12.3D
2800c0010000,4,4,SC16.3D | WAL10.3D | WAL12.3D | WAL13.3D
d18100000000,4,4,SIGILL.3D | SIGILN.3D | SIGILQ.3D | SIGILS.3D
3400d0030000,4,1,TWR02.3D
0040feff0060,4,2,WAL14.3D | WAL16.3D
0080000000e0,4,2,WAL14.3D | WAL16.3D
0040feff00a0,4,2,WAL14.3D | WAL16.3D
0040feff0080,4,2,ZCULT.3D | ZTURN.3D
603df4040020,3,3,7ARCH.3D | 7BSTAL.3D | 7STAL.3D
b036e2043c00,3,3,7ATDOWN.3D | 7ATUP.3D | 7SIL6.3D
