file,point_count,plane_count,face_count,face_point_total,unique_texture_tags,signature
TREB6.3D,24,19,19,82,1,74812a9276d0670a739436a482f497949feec655
TREB7.3D,26,21,21,82,1,7b42f52ecb91a15f5d8f7bf767c7de8e0fc4527d
TREB8.3D,16,14,14,56,1,7d7d4d3960e491253d3c03faf21c3251a9f87b8f
TREE1.3D,43,68,68,209,1,f2ba9d563c21a7c41bdd46b5b5593de9317d8b9a
TREE2.3D,29,46,46,140,1,c1e974ae5e2cbee8effbd74d84537dfb573f466b
TREE3.3D,33,51,51,158,1,4cfca557630762f361c44d696f62e25106635d3c
TRP03.3D,8,6,6,24,6,01b93413bd9008dde0f560959e0c39f0d55c52e9
TRP04.3D,8,6,6,24,6,8fa87d5587d63b0b6696a8fd18b8c143d00d7f9b
TUBPORT.3D,122,127,127,515,1,1935110baedec5beeb468fe4d5ab8b4e0dc85aed
TURBACK.3D,42,73,73,226,1,54e238cdb166c1a3f4fbece96a3b477d948150ed
TURBELLY.3D,42,66,66,212,1,d16c21d86c8e61fcd857d98661760eb702f50ef2
TURHEAD.3D,76,90,90,306,1,95472988656be706e71a74ba6e33a7f8e5631b2e
TURNECK.3D,53,81,81,264,1,19c6e23e6d18f3601aeae9cb42a559fc76d689be
TWR02.3D,92,71,71,318,56,a46d17fe2529111afa314f488d38d5b3dd794e66
UPTEST.3D,20,32,32,96,29,7c049879cae8d67fb3e1201ef92fce947ae55fd5
WAL09.3D,56,40,40,165,18,d4c6af7cdfbe2c87c3ecd686765622b20bac228f
WAL10.3D,50,35,35,144,32,deeef35357b83c8c2a7a6f8263c9983bc076737e
WAL11.3D,18,8,8,32,7,81bfd986b5dd0f60fc93f75946f32aef2cabdf6b
WAL12.3D,50,38,38,151,26,156c8a4b909735e264bb5eabebab245595c48bdb
WAL13.3D,51,39,39,154,27,7b40c1ce14f3851196f1d0240ec68b39a71b7a76
WAL14.3D,34,24,24,93,13,625890cb4f11909009eac06613124b6cfe804031
WAL15.3D,18,8,8,32,1,3d5b5a8aa13ddec62605595b66421740fa8fffc7
WAL16.3D,34,24,24,93,15,4e6ba1ed06fff632c1c99483afc21adc36cc6dde
WALK.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
WALL.3D,457,485,485,1748,1,f6ceace6b80ad739a6af3abebc21daf4286ce60e
WALLF2.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALLF3.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALLF4.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALLF5.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALLF6.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
WALLF7.3D,24,20,20,84,1,65e0c4a6f056e30e1eb80d0e042544a1d3ccd68c
