file,point_count,plane_count,face_count,face_point_total,unique_texture_tags,signature
1FLOAT4.3D,19,24,24,82,1,9c8ca48696584cc229abf12f98c9506bec4261d5
1FLOAT5.3D,19,24,24,82,1,9c8ca48696584cc229abf12f98c9506bec4261d5
1FLOAT6.3D,19,24,24,82,1,9c8ca48696584cc229abf12f98c9506bec4261d5
1FLOAT7.3D,19,25,25,84,1,cf349b2f5876d497917f5a61046cac12bd670060
1FLROOM.3D,30,14,14,78,1,028bedfd5930b455c47731b57b0caf4b2ca8571f
1FORK1.3D,46,61,61,183,1,87a8f7f06ef471b804dce65694be9641090392be
1FUNNEL.3D,8,8,8,24,1,1d492fbc3de7c873cdb9ae71c9f40107f9942e83
1GATE1.3D,20,18,18,72,1,ffee588251b38ca93d3d5fe7900d1028fdd29437
1GATE2.3D,20,18,18,72,1,ffee588251b38ca93d3d5fe7900d1028fdd29437
1GATE3.3D,20,18,18,72,1,ffee588251b38ca93d3d5fe7900d1028fdd29437
1GATE4.3D,20,18,18,72,1,ffee588251b38ca93d3d5fe7900d1028fdd29437
1GATESIL.3D,14,11,11,46,1,79c6377bde1d3075aea71cdbe0ec1bc82520b0b4
1GEN1.3D,48,26,26,122,1,9ef2165861be9fcf85a915bc1518051f3f192211
1GEN2.3D,48,26,26,122,1,9ef2165861be9fcf85a915bc1518051f3f192211
1GEN3.3D,48,26,26,122,1,9ef2165861be9fcf85a915bc1518051f3f192211
1GEN4.3D,48,26,26,122,1,9ef2165861be9fcf85a915bc1518051f3f192211
1GEN5.3D,48,26,26,122,1,9ef2165861be9fcf85a915bc1518051f3f192211
1GENC1.3D,96,56,56,296,1,a2b9e1aba5381307341e87d99d8c654efc99285e
1GENC2.3D,96,56,56,296,1,a2b9e1aba5381307341e87d99d8c654efc99285e
1GENC3.3D,96,56,56,296,1,a2b9e1aba5381307341e87d99d8c654efc99285e
1GENC4.3D,96,56,56,296,1,a2b9e1aba5381307341e87d99d8c654efc99285e
1GENC5.3D,96,56,56,296,1,a2b9e1aba5381307341e87d99d8c654efc99285e
1HALL.3D,116,86,86,392,1,1e2e6d64d2201ea4b5f8c9c47100498266e46e2e
1HELL.3D,56,36,36,154,1,1f6baa5e2cac5c407a43f7e33e814c316c7a907e
1HELL2.3D,56,27,27,108,1,b13a6951d7d0bb81937f2e5699dc513065a37e1a
1HELL3.3D,56,28,28,112,1,2d945674c092ac1719f7c9fc45e57520eea9af8b
1HELL4.3D,56,28,28,112,1,2d945674c092ac1719f7c9fc45e57520eea9af8b
1HELL5.3D,56,36,36,154,1,1f6baa5e2cac5c407a43f7e33e814c316c7a907e
1HORN1.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORN2.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORN3.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORN4.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORN5.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORN6.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORN7.3D,7,8,8,26,1,d1ed781ea801ccbc612b4797a912c3535d9d412d
1HORSE.3D,158,302,302,920,1,6dea2d160cb6caeb0d13d37ef8e102468e90a822
1HPILL.3D,56,58,58,224,1,cc01a0023e0621b4ee4d2e36332c3f02598382b9
1HURT.3D,10,5,5,20,1,010704ce05b9686a1c0015a9d075d20b2d50e99a
1LAIR.3D,34,16,16,64,1,c3e93a582f907fb75ec06914f2533ce7ea88692f
1LAIR2.3D,34,16,16,64,1,c3e93a582f907fb75ec06914f2533ce7ea88692f
1LAIRFLR.3D,17,4,4,23,1,72a90904ff79e590bcf2408811f24e30d1d52dd4
1LAIRUPS.3D,17,4,4,23,1,72a90904ff79e590bcf2408811f24e30d1d52dd4
1LEDGE.3D,55,56,56,217,1,6be0c83bd390ff7b368779279cddbcbe302d623f
1LEDGE2.3D,68,69,69,270,1,9d7c85bd489cfc0ae3c81a14f06e14eff3020bf2
1LEDGE3.3D,81,152,152,456,1,26c0e019f228cc83e64a95a9cabcf0e6547c2320
1LEVPLAT.3D,44,38,38,160,1,c58306d4e39b278faad1b54a81c6816700a65bb5
1LEVROOM.3D,17,10,10,46,1,2c639fde5e27b2c78763559f26da3a24a8ebde0a
1LIFT.3D,36,32,32,132,1,f84f2d74d2cc81212d3262356b473df55aa827de
1LOWER.3D,70,64,64,272,1,6e9d7482713759b32a8ab38ae0ae866e60847e74
1LOWUP.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1LPLAT1.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1LPLAT2.3D,20,16,16,66,1,aac31724163e5cf32b2c10b8325e3713fed43f69
1LPLAT3.3D,26,21,21,90,1,3f8a8159f76b83e4837f261b4330ec0415037082
1LSLOPE.3D,16,28,28,84,1,54bc011886ca23c2a2d8452048451680f37bc022
1MUCK.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1MULTI.3D,88,67,67,312,1,ac4359bef345073769db453d31f37d61c6dc7013
1PANEL.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PANEL2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PANEL3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PANEL4.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PANEL5.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PANEL6.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PATH.3D,4,2,2,6,1,0bc9c0444142db573fb8407f91604ad46052422d
1PCAVE.3D,174,139,139,594,1,3150e8af0b9e32445d38488940b870f2ef9dc99c
1PLANK1.3D,42,47,47,174,1,33b055d9712a74b60957bb27417c56dfa57612bf
1PLANK2.3D,45,52,52,190,1,2057022e18f7d8a53e20d1bd720933e3f09befc7
1PLANK3.3D,48,56,56,204,1,a1b0c0cee3776323e227f583864cc58981297ae9
1POW1.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW10.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW2.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW3.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW4.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW5.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW6.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW7.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW8.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POW9.3D,24,16,16,76,1,715f2a2fcb3c5d057adff3f982da81f56aaf9174
1POWER.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1POWER2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1POWER3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1PSTAND.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1ROPER.3D,44,38,38,144,1,a0d5ae12e42537d6e18efc7da54521d83ed6b899
1ROPER2.3D,44,38,38,144,1,a0d5ae12e42537d6e18efc7da54521d83ed6b899
1ROPER3.3D,44,38,38,144,1,a0d5ae12e42537d6e18efc7da54521d83ed6b899
1ROPER4.3D,44,38,38,144,1,a0d5ae12e42537d6e18efc7da54521d83ed6b899
1ROPER5.3D,44,38,38,144,1,a0d5ae12e42537d6e18efc7da54521d83ed6b899
1SCAFF.3D,10,7,7,30,1,fb0265f733560b6cfcb74c62de0ef52b4800f649
1SECRET.3D,48,28,28,148,1,44e5f9142145f212c49d667ad8384b3d2987e27f
1SILO.3D,38,33,33,130,1,3ca9b590136d83c1b824f72d89f5217c5724388f
1SLOTS.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
1STAIR.3D,128,122,122,482,1,efb4995f2c67f27a4a514fd68df5e4d9e16f6d36
1STALAC.3D,37,45,45,160,1,17ee8a3799abb0fa014062575d28d8f8ad5c0b70
1STALAC2.3D,37,45,45,160,1,17ee8a3799abb0fa014062575d28d8f8ad5c0b70
1STALAC3.3D,37,45,45,160,1,17ee8a3799abb0fa014062575d28d8f8ad5c0b70
1SUBPORT.3D,82,72,72,304,1,f89e62c04ea39fce02382f8ed62e07c52ec84519
1SWALK.3D,60,66,66,248,1,f17a3d9d0930f6a064af4de192747b2571d93c80
1TABLE.3D,284,362,362,1264,1,14b28dfb887aef59e929e79613c8e4ad841fa500
1TEMPLE.3D,134,145,145,547,1,28aa6e07c29a1285d7e7f3cc539fff3cb69e8586
1TORCH1.3D,8,6,6,20,1,007150a71d05370199e73c7d78cd83661c0b0553
1TORCH2.3D,8,6,6,20,1,007150a71d05370199e73c7d78cd83661c0b0553
1TORCH3.3D,8,5,5,18,1,d0a0b2cdebb59784fa5c5165cd4d912d8ca8bf9d
1TORCH4.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1TORCH5.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
1TRACKS.3D,64,48,48,192,1,b3d5bad57711d755cdf0a0564c54bb67bafde726
1TRACKS2.3D,64,48,48,192,1,b3d5bad57711d755cdf0a0564c54bb67bafde726
1TUBE1.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE10.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE2.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE3.3D,77,114,114,396,1,2325e4233d42a78e36ddb2a2c639cc89b63f3982
1TUBE4.3D,77,114,114,396,1,2325e4233d42a78e36ddb2a2c639cc89b63f3982
1TUBE5.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE6.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE7.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE8.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUBE9.3D,77,113,113,394,1,722297513449c40fc847992508752fa3a9cf649d
1TUNN1.3D,25,34,34,102,1,414d43e69646aa6366a5376c31e15385b5ed4ec6
1TUNN2.3D,12,16,16,48,1,d568af257a79da1cf0af782cb5fc6996ec658778
1TUNN3.3D,24,22,22,80,1,71b4a057ad4663fee54502f1180d2164782fabcb
1TUNN4.3D,16,18,18,60,1,4e573f35d58b7ac553abdf761c42363ebd951c38
1TURP10.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURP11.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURP12.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURP13.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL2.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL3.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL4.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL5.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL6.3D,14,14,14,52,1,fb3fc2ec4e538ec39ef5d919079b22f9023560d5
1TURPIL7.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL8.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1TURPIL9.3D,14,15,15,54,1,c8a8061f825f050d4a0ebe7189e7cff98ef98614
1UPPER.3D,40,36,36,152,1,c452f026982ab726642e32ae50b703536310be41
1UPPOWER.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
1WIER.3D,129,122,122,411,1,5e99eef1bcac697377a621492bbf718369a08186
1WIERLOW.3D,56,48,48,161,1,954c44d007818e889200efbbde55446e38e0d84a
1WIERTOP.3D,20,10,10,40,1,983e2096f771fe4a8fa2c139d7c44d66e6e9e6b7
1WIZPO1.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
1WIZPO2.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
1WIZPO3.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
1WIZPO4.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
1WIZPO5.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
1WIZROOM.3D,28,20,20,88,1,fb223323e49631058ffe7a4912da8d4e5b157525
1ZOOM.3D,40,24,24,124,1,484c1f4507fabe91b71a24924030e498a3a46ab4
2-4.3D,22,17,17,70,1,db741bd4af838bf5c6f6943f180e1d4492dd0c0c
2.3D,200,142,142,645,1,44c83e9e268f42f6832f849d38c5705b89264a02
20.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
21.3D,90,63,63,272,1,68ec2519a53e165615677aba4b548c576406a979
22.3D,316,232,232,950,1,fa610ac88a477fb094270a17cb8c9e93f3ac9f9b
22_2.3D,8,3,3,12,1,c251468d2171659654d04d76ba8ef6ca5a411469
22_3.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
22_4.3D,12,10,10,40,1,f4cef064b840a832e279bfefa73c232677111237
22_5.3D,12,24,24,87,1,e77cbb364094ead2486476728af349cd7665f32b
23.3D,38,35,35,138,1,f3f1cb2a8809b16fc9e618907e0c50fdcc1f4080
23ET.3D,29,32,32,118,1,01120fe5a8ba18eb57b7418bd56d81b0d78ced53
24.3D,48,32,32,152,1,beddd436c1a12c6c85ded386a7619e9f2c2a825d
24_2.3D,632,530,530,2102,1,3e5a6a3615b6165aa413ecbdbd1fc9346d2aab1d
24_3.3D,96,72,72,312,1,4059aa83f490175f5a3b0d1afa44e63ce9a07a4b
25.3D,38,35,35,138,1,f3f1cb2a8809b16fc9e618907e0c50fdcc1f4080
26.3D,26,19,19,82,1,5a859bee1726d193934007100adc2d494375caa7
26_2.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
26_3.3D,49,56,56,200,1,680947e8078f5e9edb3ccf70feadfd1050c59c57
26_4.3D,18,32,32,96,1,54afc622a80c94af66ed27c4bcc3a167584e4ce1
26_5.3D,64,72,72,256,1,f6420fb9e156bdb9fad0b18a974db53bf0d351bd
26_6.3D,39,22,22,104,1,a0f33d6bb3035c5cb492596bb802b0b9de8c1e66
26_7.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
27.3D,28,22,22,90,1,2eabed9b5025989d729055de23bdee836a4cc358
28.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
29.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
3.3D,28,25,25,98,1,dbafe932401c0656b794f8c8198ab21f392d6930
30.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
31.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
32.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
33.3D,38,28,28,116,1,305621646e127a0f23880cb456465ab04bbf79bd
34.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
35.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
36.3D,96,61,61,288,1,7a34d15224f7b0f4bd7ce5eaaaf896533ab0f49e
37.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
38.3D,50,26,26,106,1,8a641783fc24e5358f7f4fdb62c929866f1717cf
39.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
3ARCH.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
3ARCH2.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
3ARCH3.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
3ARCH4.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
3ARCH5.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
3BIGDOOR.3D,8,6,6,24,1,df98f2524933b785ed05c0ca8504766fe8dcd8c0
3BRACE.3D,20,20,20,72,1,e93ea5335175473a767e2c939e920a4d422d0b21
3KEY.3D,36,26,26,118,1,7fe5ebf0c4ce1daf7ceb8f585952eef69abc2048
3RISE.3D,8,12,12,36,1,264eb98b374ef0d78cbb9e2a8b15758422955933
3RISE2.3D,8,12,12,36,1,264eb98b374ef0d78cbb9e2a8b15758422955933
4.3D,100,53,53,240,1,86410a4a4a2ffaa412ca954328bca391a88d36d5
40.3D,104,90,90,366,1,f0441139a86be7a37f5a948d09a232e1b308f9ce
40_2.3D,8,3,3,12,1,c251468d2171659654d04d76ba8ef6ca5a411469
41.3D,38,35,35,138,1,f3f1cb2a8809b16fc9e618907e0c50fdcc1f4080
42.3D,136,114,114,490,1,c6932504beab81dfae2c5b87fc45bab1f93287bd
42_2.3D,48,88,88,264,1,5347d8b4d9cb46b10670d6d99aec0bc5747d5877
42_3.3D,155,118,118,472,1,81d0ecf75e4c01244b68a7f2e37a7ca9ff74bc16
43.3D,300,294,294,1184,1,dbcb35e9b87807a4cfa928e0a651dd7b7a41314b
44.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
45.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
46.3D,230,175,175,675,1,0c8e5b5427514516a30121ebe49f8cc047626221
47.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
48.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
49.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
5.3D,32,18,18,76,1,3f283d3ea5d37b252d0d3b61056a180d7004bb7d
50.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
51.3D,44,29,29,134,1,457a9429c2d518e2d81fc9c95e4fa02fbb637db9
51_2.3D,8,3,3,12,1,c251468d2171659654d04d76ba8ef6ca5a411469
52.3D,8,5,5,20,1,5621c6ec18bd11212c00e818d3090029d63f4056
52_2.3D,8,5,5,20,1,5621c6ec18bd11212c00e818d3090029d63f4056
53.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
54.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
55.3D,20,10,10,52,1,0b8c26f5f3106b77144864a47420e8af25e3a2d2
55_2.3D,60,60,60,228,1,404c64144536fd015f4b8b35bfe6b7e463678415
56.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
57.3D,18,10,10,46,1,b589cbf8515faa4c5c5d99d6783c7eec8319d02a
57_2.3D,32,16,16,64,1,ea5a7dda4480d39b5daab7cce9b0161935ffb7be
58.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
59.3D,297,268,268,1104,1,b35272fe4fb7b764f5da23a3985173abde68050d
5_2.3D,82,84,84,320,1,dfe9196732f4823ff68067998d4e47b61b501ce9
6.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
60.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
61.3D,296,553,553,1866,1,27746c9764c64264cbf19827880e785e295fcfed
61_3.3D,56,85,85,278,1,952cab390b01314d44d6b85dbe8e3dc7c3416f31
61_4.3D,8,3,3,12,1,c251468d2171659654d04d76ba8ef6ca5a411469
62.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
63.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
64.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
65.3D,18,13,13,54,1,f3d592e2058b31212be21e2d15337f7a8e838d35
66.3D,40,27,27,126,1,8d365b1222b2ef3b1719befd0d4aabb5df59b6d7
66_3.3D,64,55,55,212,1,c4c412e32507c6823e1c4b15d0b30ee4ae9193fc
66_4.3D,24,20,20,76,1,7ad61ff77dec43eca9124714f76e9894fea47837
67.3D,70,57,57,244,1,aea1b2eecc8552bfd7d34640f1aaf4f484010549
67_2.3D,76,51,51,204,1,676ca4f648a023f1386936f84ba484077a36be71
68.3D,38,35,35,138,1,f3f1cb2a8809b16fc9e618907e0c50fdcc1f4080
69.3D,48,90,90,270,1,ad1703c4cec671fbd86ea1767d429aa55f65e085
69PILL1.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
69PLAT.3D,20,3,3,24,1,afc8fc9d4ee559f0246b1c0ef34cace570a8d189
69UP.3D,12,11,11,40,1,7e251e3d419f02e1fdad4ee86fb793de736e993d
69_2.3D,84,78,78,312,1,f41c72771f2df4b2113d0507ac0cde716b0bed61
7.3D,8,4,4,16,1,37230c143ae7dbdf8f7c2917a48cff5ce798b45a
70.3D,28,20,20,86,1,a180add092ae566b27058787d3d7ffe173d77805
70_2.3D,128,111,111,426,1,d8c9f519b870b8b10cd7e17b9b258952a7557639
71.3D,24,18,18,76,1,bee6d901210fd710835b6affc4e57d6487f430c3
71_2.3D,10,8,8,30,1,2da65c3594ef87f560bcf2bc94b65a3a7e05678a
72.3D,92,168,168,504,1,52d16c59abc6ad6c2bef5ab6ca2b02fde6a22a80
72_2.3D,8,5,5,20,1,5621c6ec18bd11212c00e818d3090029d63f4056
72_3.3D,16,13,13,52,1,74144487b071f1969b3f9e81a181f114ae7556d5
72_4.3D,16,17,17,68,1,6373add77acfe155421c56c7d294399b7938a3e9
73.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
74.3D,28,24,24,96,1,68ab5bb9e90faf1f46c12d39044600ca81894c20
7ARCH.3D,41,47,47,141,47,2fab967e3c8f49482ff20aa20d3003445e5d9e87
7ATDOWN.3D,37,70,70,210,60,086cefa2921fdaf350028070772bf3c853ba89f2
7ATUP.3D,37,70,70,210,60,086cefa2921fdaf350028070772bf3c853ba89f2
7BAKUP.3D,16,14,14,56,4,8901fd25568cece9d04f55f7067ef4be1162277f
7BASE.3D,14,24,24,72,17,1b829e32913934960e523382f46cf4ee8aedf815
7BIS1.3D,30,48,48,144,37,ddef79565fcedf7cfb829b7cb4c2562044963978
7BIS2.3D,30,48,48,144,37,06896629eb455c12b445442dc7e4adbba7447b16
7BIS3.3D,30,48,48,144,37,06896629eb455c12b445442dc7e4adbba7447b16
7BOLT.3D,40,68,68,204,21,57a7e1b48faf276a5122315386e52c5b72a2e510
7BOULDR.3D,26,48,48,144,30,2b2329d7c270fe37a6e18c4f702f1533700fae5e
7BRID1.3D,20,32,32,96,29,7c049879cae8d67fb3e1201ef92fce947ae55fd5
7BRID2.3D,20,32,32,96,29,7c049879cae8d67fb3e1201ef92fce947ae55fd5
7BRID3.3D,20,32,32,96,29,7c049879cae8d67fb3e1201ef92fce947ae55fd5
7BRID4.3D,20,32,32,96,29,7c049879cae8d67fb3e1201ef92fce947ae55fd5
7BRID5.3D,20,32,32,96,29,7c049879cae8d67fb3e1201ef92fce947ae55fd5
7BROCKO.3D,31,55,55,165,42,846ceb0394f30075c02e81127b707e2442311b50
7BSTAL.3D,26,45,45,135,45,74eaf63a441d2ea0f79ef62814d1683c0b593671
7CLIFF.3D,162,122,122,366,37,f49eddbfa8dcbc43f7081de797d4521948cef2a0
7CRATE.3D,8,12,12,36,12,aa64dd5248117f6685c16417c021cafc5bbafac4
7DAGDOOR.3D,9,7,7,21,4,071d366e01e5e8e55057ff182d47f09f37fee8c1
7DAGISL.3D,68,117,117,351,2,b68cc28c87b906a4d02f527638b70f52dbc8dc27
7DAGMNT.3D,120,206,206,618,1,37cf120f5a8c88c3871a151186bf9fec1348aad2
7DAGRATE.3D,4,1,1,4,1,c251683ab60b3212539d6ea4980edc6409a888b2
7DAGTOP1.3D,5,3,3,9,2,ddc3d6cd5d9c78f57a6ee9d9b69f0d18bf580880
7DAGTOP2.3D,7,5,5,15,3,c7f88b41211813e1401cecdc324c8118f7ebd19f
7DAGTOP3.3D,8,6,6,18,6,2073052b3ad0c380fb6d11e4d8ed670817fe9211
7DAGTOP4.3D,5,3,3,9,2,9821a86b413745f11ac282dca1b63bee618dafc7
7DAGWALL.3D,8,2,2,8,1,d742de1e48e9bd8a263af61b2264756437776c47
7DRAW1.3D,8,12,12,36,1,264eb98b374ef0d78cbb9e2a8b15758422955933
7DRAW2.3D,8,12,12,36,1,264eb98b374ef0d78cbb9e2a8b15758422955933
7FENCE.3D,20,16,16,48,1,860185f939a8367f2b537cac2989ef668406b615
7FORM1.3D,32,60,60,180,52,539b0369de0506c9896f8e5a449572445f038275
7FORM2.3D,44,84,84,252,51,80b244d24d29cf0c04059e6058f0e12a9540dbbc
7FORM3.3D,44,84,84,252,51,80b244d24d29cf0c04059e6058f0e12a9540dbbc
7HARPOON.3D,10,16,16,48,7,67f7e63fa832096c418fb335b95282d4c307a7f0
7HIT.3D,12,14,14,42,1,9b474230232b218ca32fe148ab56e28e48b3b4ac
7IN.3D,27,43,43,129,6,6009413167bf0e97c3968837efb95e8f9710d843
7INBACK.3D,31,47,47,141,36,d2aac5fa7d15bddb0b6caa0ca5e5cc1151834f85
7LAVA.3D,121,100,100,400,4,4a337724b35b3db96fc62bcc53af6f61e3062f30
7LAVA1.3D,9,4,4,16,4,95db6f4ae27e96c9cb3f369472f6d579c50a6818
7LAVA10.3D,9,4,4,16,4,8a0938a0fd30f7df013781a083c42db51099ca1c
7LAVA11.3D,9,4,4,16,4,e10db113dd5cab6fd941421d753cc1e4e4e90fb4
7LAVA12.3D,9,4,4,16,4,1f4f4f25fe5e7fa0247874f5917efcf79375babb
7LAVA13.3D,9,4,4,16,4,79912f17760e7a1795394289d50add7965697960
7LAVA14.3D,9,4,4,16,3,3ced842d65eeb57880b71ded1198e92d9e9942cd
7LAVA15.3D,9,4,4,16,4,4cd3cc95526770e7961ea670f8d273753ce24658
7LAVA16.3D,9,4,4,16,4,92121d4792b4eaa5a7005e9436ba338b2c473a68
7LAVA17.3D,9,4,4,16,3,3ced842d65eeb57880b71ded1198e92d9e9942cd
7LAVA18.3D,9,4,4,16,4,a56b6bfc82572f4fd8927a5edcbcb03ee6275fcc
7LAVA19.3D,9,4,4,16,4,0e1eb99f9bca5b36abfd9d1ee76891ce4856db33
7LAVA2.3D,9,4,4,16,1,800e2ce169d53ef8ae9bc1d6c8f13b3b376346ed
7LAVA20.3D,9,4,4,16,1,800e2ce169d53ef8ae9bc1d6c8f13b3b376346ed
7LAVA21.3D,9,4,4,16,4,7e2ae7d6bb3db6d36a621f078bad485a9f599035
7LAVA22.3D,9,4,4,16,4,60e871100e5a87810a616af16512b77c4c67a730
7LAVA23.3D,9,4,4,16,1,800e2ce169d53ef8ae9bc1d6c8f13b3b376346ed
7LAVA24.3D,9,4,4,16,3,15194dbf6a4c507ab70421dfc9176c26873df80b
7LAVA25.3D,9,4,4,16,1,800e2ce169d53ef8ae9bc1d6c8f13b3b376346ed
