chunk,rank_within_chunk,payload_len,count,share_within_chunk
AMBI,1,4,2452,1.0
BRIT,1,4,1499,1.0
FLAD,1,336,1437,0.632482
FLAD,2,448,282,0.12412
FLAD,3,416,163,0.071743
FLAS,1,3472,2,0.044444
FLAS,2,4160,2,0.044444
FLAS,3,6880,2,0.044444
LITD,1,80,1497,0.998666
LITD,2,140,2,0.001334
LITS,1,352,6,0.133333
LITS,2,0,4,0.088889
LITS,3,440,4,0.088889
RAWD,1,4,1683,0.290975
RAWD,2,16,983,0.169952
RAWD,3,24,878,0.151798
